;P_HOUSEHOLD;Q_HOUSEHOLD;P_HEATPUMP;Q_HEATPUMP;P_PV;Q_PV
2020-01-02 23:30:00;9202,653436491224;-1193,1276689618812;30103,79033425648;11645,285339158108;0,0;0,0
2020-01-02 23:45:00;6817,102333026463;-1273,788109403186;34243,366252634296;12906,502447775336;0,0;0,0
2020-01-03 00:00:00;6455,693783018324;-1174,659334437052;19045,635221883946;10158,014340575528;0,0;0,0
2020-01-03 00:15:00;7014,113233142431;-1047,1845554769045;36096,60341040292;14146,788360664576;0,0;0,0
2020-01-03 00:30:00;6948,9108861287405;-1103,1816645635488;35137,73847144443;16424,55966118708;0,0;0,0
2020-01-03 00:45:00;5433,806441836886;-764,4596668680512;29984,92208010356;8230,877921383904;0,0;0,0
2020-01-03 01:00:00;7042,72032970853;-1539,3329981327045;33510,61451145808;12358,619240336928;0,0;0,0
2020-01-03 01:15:00;4802,020006010269;-1229,1010007619875;21788,579777166586;14698,49363679355;0,0;0,0
2020-01-03 01:30:00;4457,162441592747;-981,7943332824458;32170,006660842904;9477,660236173197;0,0;0,0
2020-01-03 01:45:00;4181,535220675997;-1243,449445390701;38188,201639938365;17420,54165155623;0,0;0,0
2020-01-03 02:00:00;4423,5864405738;-918,79333246549;26689,11419939465;15276,803258098493;0,0;0,0
2020-01-03 02:15:00;4773,953222274779;-910,474110692738;28301,12961327234;10224,604327276022;0,0;0,0
2020-01-03 02:30:00;4942,174884838524;-712,6174468720957;23389,479430686104;5881,7714413113;0,0;0,0
2020-01-03 02:45:00;4629,770000033909;-868,7027770295958;25855,54635237588;11628,148437552984;0,0;0,0
2020-01-03 03:00:00;4735,6164451175255;-754,3589972125167;31689,248024813325;14822,08286945024;0,0;0,0
2020-01-03 03:15:00;4172,532223553129;-1206,6458886835296;26128,4612295045;11051,029993666534;0,0;0,0
2020-01-03 03:30:00;4319,849216291638;-953,1482241928576;29691,00469699438;10110,574215009465;0,0;0,0
2020-01-03 03:45:00;4275,358336978487;-832,4825545970775;24213,383548842536;13692,319233290353;0,0;0,0
2020-01-03 04:00:00;4238,492225307887;-859,613775971738;36457,52172764671;13828,653028376884;0,0;0,0
2020-01-03 04:15:00;4534,398446358569;-1029,811110881344;33522,34868725672;14613,308551081014;0,0;0,0
2020-01-03 04:30:00;4958,938886133836;-1206,9567787289204;30829,46986995274;13400,490668282231;0,0;0,0
2020-01-03 04:45:00;5380,841442404854;-1142,6453340466048;28425,15565684634;12313,847132891333;0,0;0,0
2020-01-03 05:00:00;5470,729335996837;-957,2294425434548;22708,454093392724;9284,813890218742;0,0;0,0
2020-01-03 05:15:00;6993,3972134484175;-857,4231111685431;28690,101557985938;10479,295085991764;0,0;0,0
2020-01-03 05:30:00;7157,632998233376;-474,3858860481115;23458,329933622157;11064,15420188904;0,0;0,0
2020-01-03 05:45:00;6674,69199896918;-586,3897747931387;27233,639120144304;10783,559567578635;0,0;0,0
2020-01-03 06:00:00;6769,120277065699;-861,8317765902518;33012,266696675586;10875,191435657604;0,0;0,0
2020-01-03 06:15:00;8067,669336954746;-1001,2177779205564;20923,493905417108;12013,974568536536;0,0;0,0
2020-01-03 06:30:00;5688,630894088749;-913,4480006045771;46746,78763407603;19962,72431794539;0,0;0,0
2020-01-03 06:45:00;5074,955664528745;-925,459998941421;28664,10338584053;12301,493336407337;0,0;0,0
2020-01-03 07:00:00;5451,689228736037;-962,2528894033708;27126,29292422536;11829,002428727688;0,0;0,0
2020-01-03 07:15:00;5224,72977587382;-847,0501123905186;30488,14532457988;13319,046881653205;0,0;0,0
2020-01-03 07:30:00;5896,665446429788;-1027,0802224026795;22637,57591192457;9531,837346500824;0,0;0,0
2020-01-03 07:45:00;4997,96932720608;-1106,0944449744309;31742,134880256697;10789,923025237184;0,0;0,0
2020-01-03 08:00:00;5569,937002648246;-1052,1421098934263;21814,658878294624;12542,786472813288;0,0;0,0
2020-01-03 08:15:00;6908,2765568627365;-1147,1598888627357;22445,90233465832;13749,903881204124;0,0;0,0
2020-01-03 08:30:00;10007,710433197028;-1255,2393329718668;32079,24802637095;12336,57577701143;2,3777777777777778;0,0
2020-01-03 08:45:00;8871,365986633296;-1454,7803329573735;36584,1965625657;20974,742335153784;156,24444444444444;0,4666666666666667
2020-01-03 09:00:00;7880,194004694622;-1115,1425577388864;36447,10078929262;17650,76365037759;288,8222222222222;2,466666666666667
2020-01-03 09:15:00;8590,420771789546;-643,2630004827356;51568,71087630595;24413,60635341141;306,76666666666665;0,6333333333333333
2020-01-03 09:30:00;12151,33612276714;-667,7675548593211;32216,551457789188;21142,91376910077;545,4;0,9555555555555556
2020-01-03 09:45:00;11864,161890580912;151,84755607094138;31844,54729669358;16956,043108431488;726,1777777777778;0,9444444444444444
2020-01-03 10:00:00;8458,914448674517;-625,5361080792209;35255,0242688285;13414,12179253366;978,4222222222222;1,0666666666666669
2020-01-03 10:15:00;8482,322334247163;-682,3707783565942;28495,99137912325;14789,886000728608;862,9888888888888;1,0555555555555556
2020-01-03 10:30:00;9515,548679478956;-452,82299919948014;39501,96769828798;15310,642671680453;1214,888888888889;1,1333333333333333
2020-01-03 10:45:00;11393,016331354778;-137,10633858309762;35780,78333405388;14239,990196022723;1508,7555555555557;1,1333333333333333
2020-01-03 11:00:00;14413,289885160664;-549,3272203498416;25842,091343498207;18188,406455622782;3533,566666666666;2,7333333333333334
2020-01-03 11:15:00;14374,611081992256;-662,3105542914934;34016,81772812734;15717,98242725266;6426,38888888889;3,511111111111111
2020-01-03 11:30:00;14885,777102237276;-744,5502236204006;32664,78243150708;11674,509009419551;3182,866666666667;2,855555555555556
2020-01-03 11:45:00;11711,220779207018;-296,27155594279265;41526,53390929965;17096,53502971861;1260,3111111111111;1,5333333333333332
2020-01-03 12:00:00;13137,06510658264;-235,00110994159428;47861,985377051446;15913,845338455352;1165,111111111111;1,1555555555555557
